office,co2e
Associated Students Concerts & Events,0.002509
Associated Students Concerts & Events,-0.001254
Associated Students Concerts & Events,0.038640
Associated Students Concerts & Events,-0.045161
Associated Students Concerts & Events,-0.003763
Associated Students Concerts & Events,-0.007527
Associated Students Concerts & Events,-0.001254
Associated Students Concerts & Events,0.038640
Associated Students Concerts & Events,-0.045161
Associated Students Concerts & Events,-0.003763
Associated Students Concerts & Events,-0.052687
Associated Students Concerts & Events,-0.012545
Associated Students Concerts & Events,0.272160
Associated Students Concerts & Events,0.002509
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.007527
Associated Students Concerts & Events,0.045161
Associated Students Concerts & Events,0.003763
Associated Students Concerts & Events,-0.007527
Associated Students Concerts & Events,-0.002509
Associated Students Concerts & Events,0.038640
Associated Students Concerts & Events,-0.045161
Associated Students Concerts & Events,-0.003763
Associated Students Concerts & Events,4.765690
Associated Students Concerts & Events,28.809040
Associated Students Concerts & Events,371.732400
Associated Students Concerts & Events,258.566256
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,211.750000
Associated Students Concerts & Events,80.850000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,77.550000
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,13.887720
Associated Students Concerts & Events,10.184160
Associated Students Concerts & Events,3.888360
Associated Students Concerts & Events,3.685080
Associated Students Concerts & Events,3.055080
Associated Students Concerts & Events,0.999600
Associated Students Concerts & Events,0.139440
Associated Students Concerts & Events,0.101640
Associated Students Concerts & Events,0.038640
Associated Students Concerts & Events,0.036960
Associated Students Concerts & Events,0.030240
Associated Students Concerts & Events,0.010080
Associated Students Concerts & Events,0.034440
Associated Students Concerts & Events,0.025200
Associated Students Concerts & Events,0.010080
Associated Students Concerts & Events,0.009240
Associated Students Concerts & Events,0.007560
Associated Students Concerts & Events,0.002520
Associated Students Concerts & Events,-0.001722
Associated Students Concerts & Events,0.051240
Associated Students Concerts & Events,0.019320
Associated Students Concerts & Events,0.018480
Associated Students Concerts & Events,0.015120
Associated Students Concerts & Events,0.005040
Associated Students Concerts & Events,0.834120
Associated Students Concerts & Events,0.610680
Associated Students Concerts & Events,0.233520
Associated Students Concerts & Events,0.220920
Associated Students Concerts & Events,0.183120
Associated Students Concerts & Events,0.059640
Associated Students Concerts & Events,16.081444
Associated Students Concerts & Events,0.000000
Associated Students Concerts & Events,0.266148
Associated Students Concerts & Events,11.339243
Associated Students Concerts & Events,88.429320
Associated Students Concerts & Events,435.288840
Associated Students Concerts & Events,4.988880
Associated Students Concerts & Events,4.988880
Associated Students Concerts & Events,5.300880
Associated Students Concerts & Events,0.015054
Associated Students Concerts & Events,0.060214
Associated Students Concerts & Events,0.030107
Associated Students Concerts & Events,0.361284
Associated Students Concerts & Events,0.015054
Associated Students Concerts & Events,0.060214
Associated Students Concerts & Events,0.030107
Associated Students Concerts & Events,0.361284
Associated Students Concerts & Events,0.063977
Associated Students Concerts & Events,0.016308
Associated Students Concerts & Events,0.383864
Associated Students Concerts & Events,0.031361
Associated Students Concerts & Events,-0.015054
Associated Students Concerts & Events,-0.060214
Associated Students Concerts & Events,-0.030107
Associated Students Concerts & Events,-0.361284
Associated Students Concerts & Events,0.312480
Associated Students Concerts & Events,-0.015054
Associated Students Concerts & Events,-0.060214
Associated Students Concerts & Events,-0.030107
Associated Students Concerts & Events,0.312480
Associated Students Concerts & Events,-0.361284
Associated Students Concerts & Events,-0.063977
Associated Students Concerts & Events,-0.016308
Associated Students Concerts & Events,-0.383864
Associated Students Concerts & Events,-0.031361
Associated Students Concerts & Events,0.332640
Associated Students Concerts & Events,0.080285
Associated Students Concerts & Events,0.963425
Associated Students Concerts & Events,0.040143
Associated Students Concerts & Events,0.160571
Associated Students Concerts & Events,0.041397
Associated Students Concerts & Events,0.164334
Associated Students Concerts & Events,0.081540
Associated Students Concerts & Events,0.987259
Associated Students Concerts & Events,0.050178
Associated Students Concerts & Events,0.012545
Associated Students Concerts & Events,0.301070
Associated Students Concerts & Events,0.025089
Associated Students Concerts & Events,0.391391
Associated Students Concerts & Events,0.032616
Associated Students Concerts & Events,0.016308
Associated Students Concerts & Events,0.065232
Associated Students Concerts & Events,0.752675
Associated Students Concerts & Events,0.062723
Associated Students Concerts & Events,0.031361
Associated Students Concerts & Events,0.125446
Associated Students Concerts & Events,1.021130
Associated Students Concerts & Events,0.085303
Associated Students Concerts & Events,0.042652
Associated Students Concerts & Events,0.169352
Associated Students Concerts & Events,0.062723
Associated Students Concerts & Events,0.015054
Associated Students Concerts & Events,0.031361
